date,region,category,product,customer_segment,units_sold,unit_price,revenue,cost
2025-08-22,West,Electronics,4K Monitor,Consumer,59,187.85,11083.15,6505.13
2025-04-20,East,Sports,Bike Helmet,Corporate,16,104.84,1677.44,
2025-01-10,South,Electronics,Laptop Stand,Corporate,22,206.06,4533.32,2730.52
2025-09-02,West,Home & Garden,Garden Hose,Corporate,54,25.36,1369.44,624.21
2025-10-09,West,Sports,Yoga Mat,Small Business,3,196.56,589.68,395.3
2025-12-05,West,Toys,Board Game,Small Business,1,31.72,31.72,23.27
2025-09-25,North,Apparel,Yoga Pants,Consumer,6,163.16,978.96,680.19
2025-09-21,North,Toys,Building Blocks,Corporate,35,98.82,3458.7,1940.92
2025-12-08,East,Toys,Plush Toy,Corporate,30,205.76,6172.8,4388.12
2025-11-05,West,Electronics,4K Monitor,Corporate,1,161.16,161.16,92.34
2025-07-25,West,Home & Garden,Wall Clock,Corporate,27,21.2,572.4,400.6
2025-12-18,East,Electronics,Smart Watch,Corporate,15,84.51,17505.28,685.39
2025-09-12,North,Home & Garden,Throw Blanket,Small Business,27,45.24,1221.48,598.1
2025-02-04,North,Toys,Puzzle Set,Small Business,7,,1449.35,710.6
2025-08-01,North,Toys,Puzzle Set,Small Business,22,31.65,696.3,404.15
2025-11-28,South,Home & Garden,Throw Blanket,Small Business,14,160.13,2241.82,1145.75
2025-09-02,West,Apparel,Denim Jacket,Corporate,14,213.37,2987.18,1863.27
2025-09-14,South,Sports,Bike Helmet,Corporate,43,209.27,86884.18,5929.59
2025-02-03,East,Sports,Tennis Racket,Consumer,1,105.16,105.16,78.82
2025-03-10,East,Home & Garden,Ceramic Planter,Small Business,39,212.31,8280.09,5510.46
2025-04-09,North,Apparel,Wool Sweater,Corporate,52,150.02,7801.04,5230.73
2025-10-16,East,Sports,Dumbbell Set,Small Business,9,161.35,1452.15,1037.87
2025-08-10,South,Toys,Building Blocks,Consumer,1,94.61,94.61,62.14
2025-11-10,West,Home & Garden,Garden Hose,Small Business,3,138.9,416.7,216.86
2025-02-08,West,Electronics,Smart Watch,Consumer,3,72.53,217.59,130.07
2025-12-22,North,Sports,Yoga Mat,Corporate,35,34.2,1197.0,671.01
2025-06-28,North,Sports,Tennis Racket,Corporate,40,154.85,6194.0,3994.83
2025-12-18,South,Sports,Bike Helmet,Small Business,30,38.29,1148.7,565.03
2025-09-27,West,Electronics,Laptop Stand,Corporate,21,32.58,684.18,466.45
2025-04-11,East,Home & Garden,Garden Hose,Corporate,20,61.3,1226.0,596.08
2025-08-18,East,Toys,Building Blocks,Small Business,13,26.15,339.95,226.41
2025-07-10,South,Toys,Board Game,Corporate,59,101.86,6009.74,4255.2
2025-12-10,North,Apparel,Running Shoes,Corporate,8,145.31,1162.48,576.81
2025-10-17,South,Toys,Plush Toy,Consumer,40,25.38,1015.2,657.05
2025-11-28,South,Home & Garden,LED Lamp,Consumer,36,69.93,2517.48,
